LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Cirsium eriophorum subsp. eriophorum	woolly thistle	Wollkopf-Kratzdistel, Wollköpfige Kratzdistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium
Daucus carota subsp. carota	na	Wilde Möhre	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Daucus
Erigeron acris subsp. acris	bitter fleabane, blue fleabane	Scharfes Berufkraut, Echte Berufkraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron
Euphrasia rostkoviana	Eyebright, Eyewort	Gemeiner Augentrost, Großer Augentrost	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Euphrasia
Galium verum subsp. verum	Ladys Bedstraw, Yellow Bedstraw	Echtes Labkraut, Gelbes Waldstroh, Liebfrauenbettstroh, Liebkraut, Gliedkraut, Gelb-Labkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium
Glechoma hederacea hederacea	ground-ivy, gill-over-the-ground, creeping charlie, alehoof, tunhoof, catsfoot, field balm, run-away-robin, creeping jenny	Gundermann, Echt-Gundelrebe	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Glechoma
Helianthemum ovatum	na	Eiblatt-Sonnenröschen	Plantae	Tracheophyta	Magnoliopsida	Malvales	Cistaceae	Helianthemum
Koeleria pyramidata	na	Großes Schillergras	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Koeleria
Lamium album subsp. album	white nettle, white dead-nettle	Weiße Taubnessel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamium
Myosotis arvensis subsp. arvensis	Field forget-me-not	Acker-Vergißmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Myosotis
Ononis spinosa subsp. procurrens	Common Restharrow	Kriechender Hauhechel	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis
Origanum vulgare subsp. vulgare	na	na	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Origanum
Pimpinella nigra	na	Schwarze Bibernelle	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Pimpinella
Vicia sativa subsp. nigra	Narrow-leaved Vetch	Schmalblättrige Wicke	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia
Primula veris subsp. veris	cowslip, common cowslip	Echte Schlüsselblume	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Primula
Veronica spicata subsp. spicata	spiked speedwell	Ähriger Ehrenpreis, Ähriger Blauweiderich, Ähren-Blauweiderich	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica
Pulsatilla vulgaris	pasque flower, pasqueflower, common pasque flower, Danes blood	Gewöhnliche Kuhschelle, Gewöhnliche Küchenschelle	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Pulsatilla
Ranunculus bulbosus subsp. bulbosus	St Anthonys turnip, bulbous buttercup	Knolliger Hahnenfuß	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus
Rhinanthus nigricans	na	na	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Rhinanthus
Rumex pratensis	na	na	Plantae	Tracheophyta	Magnoliopsida	Polygonales	Polygonaceae	Rumex
Silene latifolia subsp. alba	White Campion	Weiße Lichtnelke, Weiße Nachtnelke, Weißes Leimkraut, Nacht-Lichtnelke, Nachtnelke	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene
Sonchus arvensis subsp. uliginosus	corn sow thistle, dindle, field sow thistle, gutweed, swine thistle, tree sow thistle, field sowthistle, perennial sow-thistle, field milk thistle	Drüsenlose Acker-Gänsedistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sonchus
Trifolium pratense var. pratense	red clover	Gewöhnlicher Wiesen-Klee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Veronica hederifolia subsp. hederifolia	Ivy-leaved Speedwell	Efeu-Ehrenpreis, Efeublättriger Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Veronica
Phragmites australis	common reed	Schilfrohr	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phragmites
Mnium	na	na	Plantae	Bryophyta	Bryopsida	Bryales	Mniaceae	Mnium
Homalothecium lutescens	yellow feather-moss	Gelbliches Seidenmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Homalothecium
Brachythecium	na	Kurzbüchsenmoos, Kurzkapselmoos, Kegelmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Brachythecium
Bryum erythrocarpum	na	na	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum
Bryum violaceum	pill Bryum	na	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum
Dicranella staphylina	field forklet-moss	Acker-Kleingabelzahnmoos	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Dicranella
Ditrichum cylindricarpum	na	na	Plantae	Bryophyta	Bryopsida	Dicranales	Ditrichaceae	Ditrichum
Didymodon fallax	fallacious beard-moss	Falsches Bärtchenmoos, Täuschendes Bärtchenmoos, Doppelzahnmoos	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Didymodon
Funaria hygrometrica	na	Wetteranzeigendes Drehmoos, Echtes Drehmoos	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Funaria
Eurhynchium speciosum	na	na	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Eurhynchium
